combination_id,combination_type,model_layer,numerator_symbol,denominator_symbol,numerator_bar_grain,denominator_bar_grain,feature_bar_grain,interpretation
qqq_spy,primary,layer_01_market_regime,QQQ,SPY,1m,1m,1m,mega-cap/growth leadership vs broad market
iwm_spy,primary,layer_01_market_regime,IWM,SPY,1m,1m,1m,small-cap risk appetite vs broad market
rsp_spy,primary,layer_01_market_regime,RSP,SPY,1m,1m,1m,equal-weight breadth/concentration vs cap-weight market
dia_spy,primary,layer_01_market_regime,DIA,SPY,1m,1m,1m,old-economy/value tilt vs broad market
hyg_lqd,primary,layer_01_market_regime,HYG,LQD,1m,1m,1m,high-yield credit appetite vs investment-grade credit
hyg_tlt,primary,layer_01_market_regime,HYG,TLT,1m,1m,1m,credit risk appetite vs long-duration safety
lqd_tlt,primary,layer_01_market_regime,LQD,TLT,1m,1m,1m,investment-grade credit vs Treasury duration
tlt_shy,primary,layer_01_market_regime,TLT,SHY,1m,1m,1m,long-duration vs short-duration rate pressure
ief_shy,primary,layer_01_market_regime,IEF,SHY,1m,1m,1m,intermediate-duration vs short-duration rate pressure
tlt_ief,primary,layer_01_market_regime,TLT,IEF,1m,1m,1m,curve/duration extension pressure inside Treasuries
tlt_spy,primary,layer_01_market_regime,TLT,SPY,1m,1m,1m,long-duration safe-haven bid vs equities
uup_spy,primary,layer_01_market_regime,UUP,SPY,1m,1m,1m,dollar strength pressure vs risk assets
vixy_spy,primary,layer_01_market_regime,VIXY,SPY,1m,1m,1m,volatility stress vs equities
gld_spy,primary,layer_01_market_regime,GLD,SPY,1m,1m,1m,safe-haven gold bid vs equities
dbc_spy,primary,layer_01_market_regime,DBC,SPY,1m,1m,1m,commodity pressure vs equities
uso_spy,primary,layer_01_market_regime,USO,SPY,1m,1m,1m,oil shock or energy pressure vs equities
cper_dbc,primary,layer_01_market_regime,CPER,DBC,1m,1m,1m,industrial copper impulse vs broad commodities
dba_dbc,primary,layer_01_market_regime,DBA,DBC,1m,1m,1m,agriculture pressure vs broad commodities
slv_gld,primary,layer_01_market_regime,SLV,GLD,1m,1m,1m,silver beta vs gold safety
gld_uup,primary,layer_01_market_regime,GLD,UUP,1m,1m,1m,gold safety vs dollar pressure
bitw_spy,primary,layer_01_market_regime,BITW,SPY,1m,1m,1m,broad crypto basket beta vs equities
bkch_bitw,sector_rotation,layer_02_sector_context,BKCH,BITW,1m,1m,1m,crypto-related equities leadership vs broad crypto basket
xlb_spy,sector_rotation,layer_02_sector_context,XLB,SPY,1m,1m,1m,materials leadership vs broad market
xlc_spy,sector_rotation,layer_02_sector_context,XLC,SPY,1m,1m,1m,communication services leadership vs broad market
xle_spy,sector_rotation,layer_02_sector_context,XLE,SPY,1m,1m,1m,energy leadership/inflation sensitivity vs broad market
xlf_spy,sector_rotation,layer_02_sector_context,XLF,SPY,1m,1m,1m,financials leadership/rates-credit sensitivity vs broad market
xli_spy,sector_rotation,layer_02_sector_context,XLI,SPY,1m,1m,1m,industrial cyclicality vs broad market
xlk_spy,sector_rotation,layer_02_sector_context,XLK,SPY,1m,1m,1m,technology/growth leadership vs broad market
xlp_spy,sector_rotation,layer_02_sector_context,XLP,SPY,1m,1m,1m,consumer staples defensiveness vs broad market
xlre_spy,sector_rotation,layer_02_sector_context,XLRE,SPY,1m,1m,1m,real-estate/rate sensitivity vs broad market
xlu_spy,sector_rotation,layer_02_sector_context,XLU,SPY,1m,1m,1m,utilities defensiveness/rate sensitivity vs broad market
xlv_spy,sector_rotation,layer_02_sector_context,XLV,SPY,1m,1m,1m,healthcare defensiveness vs broad market
xly_spy,sector_rotation,layer_02_sector_context,XLY,SPY,1m,1m,1m,consumer discretionary/cyclical appetite vs broad market
xly_xlp,sector_rotation,layer_02_sector_context,XLY,XLP,1m,1m,1m,consumer discretionary risk appetite vs staples defense
xlk_xlp,sector_rotation,layer_02_sector_context,XLK,XLP,1m,1m,1m,technology/growth vs staples defense
xli_xlu,sector_rotation,layer_02_sector_context,XLI,XLU,1m,1m,1m,industrial cyclicality vs utilities defense
xlf_xlu,sector_rotation,layer_02_sector_context,XLF,XLU,1m,1m,1m,financials/rates risk vs utilities defense
xle_xlp,sector_rotation,layer_02_sector_context,XLE,XLP,1m,1m,1m,energy/inflation pressure vs staples defense
xlre_xlu,sector_rotation,layer_02_sector_context,XLRE,XLU,1m,1m,1m,real estate vs utilities rate sensitivity
